date,bpla_24h,rolling_level,rolling_slope,whole_trend
2026-08-01,743,,,1013.8373589435778
2026-08-02,1158,,,1013.5751380552225
2026-08-03,651,,,1012.9648570917733
2026-08-04,753,,,1012.0065160532303
2026-08-05,1083,,,1010.7001149395934
2026-08-06,1155,,,1009.0456537508626
2026-08-07,1150,,,1007.043132487038
2026-08-08,828,,,1004.6925511481194
2026-08-09,970,,,1001.993909734107
2026-08-10,1134,,,998.9472082450008
2026-08-11,931,,,995.5524466808006
2026-08-12,1061,,,991.8096250415066
2026-08-13,1150,,,987.7187433271188
2026-08-14,774,928.8607142857143,-42.067445054945274,983.279801537637
2026-08-15,1328,1112.1035714285713,22.099038461538314,978.4927996730614
2026-08-16,1478,1256.471428571428,41.65219780219772,973.3577377333919
2026-08-17,797,1095.6,-0.6494505494507763,967.8746157186285
2026-08-18,1671,1415.9071428571424,107.75906593406556,962.0434336287714
2026-08-19,965,1267.8000000000002,48.94725274725273,955.8641914638202
2026-08-20,1504,1390.2178571428572,67.56167582417567,949.3368892237753
2026-08-21,536,978.8214285714271,-80.28708791208831,942.4615269086365
2026-08-22,1053,966.303571428571,-74.08447802197821,935.2381045184038
2026-08-23,1120,988.728571428571,-60.34670329670343,927.6666220530772
2026-08-24,988,922.7107142857132,-82.45453296703342,919.7470795126568
2026-08-25,460,654.9857142857135,-146.25219780219797,911.4794768971425
2026-08-26,798,630.167857142857,-132.05453296703308,902.8638142065342
2026-08-27,591,521.242857142857,-145.23461538461555,893.9000914408323
2026-08-28,624,558.507142857142,-79.68708791208817,884.5883086000364
2026-08-29,715,599.564285714285,-44.13434065934104,874.9284656841465
2026-08-30,804,651.6642857142848,-23.792032967033293,864.9205626931629
2026-08-31,766,790.5714285714284,63.280219780219596,854.5645996270854
2026-09-01,1050,911.5714285714282,79.07692307692291,843.860576485914
2026-09-02,464,788.5749999999994,52.487499999999784,832.8084932696487
2026-09-03,998,851.9214285714288,39.98379120879104,821.4083499782896
2026-09-04,916,980.1214285714289,100.33324175824168,809.6601466118366
2026-09-05,763,932.9428571428576,72.16703296703297,797.5638831702897
2026-09-06,400,672.5285714285708,-31.76208791208799,785.119559653649
2026-09-07,287,400.27142857142786,-132.35659340659353,772.3271760619143
2026-09-08,713,482.3178571428567,-85.02458791208801,759.1867323950859
2026-09-09,1185,745.614285714285,-4.765384615384994,745.6982286531636
2026-09-10,556,670.0750000000003,-19.2350274725275,731.8616648361474
2026-09-11,874,783.5571428571423,27.390659340659035,717.6770409440372
2026-09-12,670,770.6714285714286,30.204945054944936,703.1443569768333
2026-09-13,902,866.9249999999996,60.520741758241535,688.2636129345354
2026-09-14,1025,1003.7392857142856,101.24766483516467,673.0348088171437
2026-09-15,244,659.1999999999996,-28.963736263736322,657.4579446246581
2026-09-16,258,486.8785714285711,-59.89917582417594,641.5330203570786
2026-09-17,956,632.125,-24.42651098901105,625.2600360144054
2026-09-18,957,726.4714285714286,-11.76538461538459,608.6389915966381
